,title,actor,year,rating
214,The Terminator,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",1984,8.0
215,Spotlight,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",2015,8.0
216,Everything Everywhere All at Once,"Dan Kwan (dir.), Michelle Yeoh, Stephanie Hsu",2022,8.0
217,Rush,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",2013,8.0
218,Logan,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",2017,8.0
219,Ratatouille,"Brad Bird (dir.), Brad Garrett, Lou Romano",2007,8.0
220,Network,"Sidney Lumet (dir.), Faye Dunaway, William Holden",1976,8.0
221,Into the Wild,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",2007,8.0
222,The Wizard of Oz,"Victor Fleming (dir.), Judy Garland, Frank Morgan",1939,8.0
223,Before Sunset,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",2004,8.0
224,Groundhog Day,"Harold Ramis (dir.), Bill Murray, Andie MacDowell",1993,8.0
225,The Exorcist,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow",1973,8.0
226,Jai Bhim,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose",2021,8.0
227,To Be or Not to Be,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny",1942,8.0
228,The Best Years of Our Lives,"William Wyler (dir.), Myrna Loy, Dana Andrews",1946,8.0
229,The Incredibles,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson",2004,8.0
230,La battaglia di Algeri,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin",1966,8.0
231,Hachi: A Dog's Tale,"Lasse Hallström (dir.), Richard Gere, Joan Allen",2009,8.0
232,The Grapes of Wrath,"John Ford (dir.), Henry Fonda, Jane Darwell",1940,8.0
233,Rebecca,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",1940,8.0
234,Babam ve Oglum,"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan",2005,8.0
235,Amores perros,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",2000,8.0
236,Pirates of the Caribbean: The Curse of the Black Pearl,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush",2003,8.0
237,La haine,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",1995,8.0
238,Cool Hand Luke,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",1967,8.0
239,Les quatre cents coups,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",1959,8.0
240,Persona,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",1966,8.0
241,It Happened One Night,"Frank Capra (dir.), Clark Gable, Claudette Colbert",1934,8.0
242,Ah-ga-ssi,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo",2016,8.0
243,The Sound of Music,"Robert Wise (dir.), Julie Andrews, Christopher Plummer",1965,8.0
244,Life of Brian,"Terry Jones (dir.), Graham Chapman, John Cleese",1979,8.0
245,Dersu Uzala,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin",1975,8.0
246,Gandhi,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud",1982,8.0
247,The Help,"Tate Taylor (dir.), Viola Davis, Emma Stone",2011,8.0
248,Aladdin,"Ron Clements (dir.), Scott Weinger, Robin Williams",1992,8.0
249,The Iron Giant,"Brad Bird (dir.), Eli Marienthal, Harry Connick Jr.",1999,8.0
